peak_number,age_ka_bp,hsg_pct,spacing_to_next_ka
1,16.24,18,1.5500
2,17.79,21,2.0000
3,19.79,16,6.7700
4,26.56,15,1.4600
5,28.02,15,2.4800
6,30.50,22,0.2900
7,30.79,20,1.2800
8,32.07,15,0.5700
9,32.64,19,0.9200
10,33.56,21,0.3600
11,33.92,16,0.4500
12,34.37,24,1.0800
13,35.45,25,0.7400
14,36.19,17,1.9600
15,38.15,17,2.4500
16,40.60,21,0.5700
17,41.17,16,1.5600
18,42.73,20,1.1300
19,43.86,22,0.8400
20,44.70,20,0.9700
21,45.67,18,3.4800
22,49.15,22,0.8800
23,50.03,19,0.7500
24,50.78,16,0.6200
25,51.40,19,1.0000
26,52.40,21,2.0000
27,54.40,23,1.6000
28,56.00,18,2.8000
29,58.80,18,0.8600
30,59.66,22,1.8400
31,61.50,23,1.2300
32,62.73,23,1.5000
33,64.23,25,1.4200
34,65.65,27,2.5400
35,68.19,30,
