depth_mbsf,age_ka_bp,hsg_pct,volcanic_glass_pct,detrital_carbonate_pct
0.725,14.41,10,4,9
0.745,14.78,8,5,4
0.765,15.37,12,3,9
0.775,15.66,13,4,11
0.785,15.95,10,2,16
0.795,16.24,18,3,9
0.805,16.55,11,3,15
0.815,16.86,11,1,27
0.825,17.17,7,0,20
0.835,17.48,8,0,10
0.845,17.79,21,12,8
0.855,18.25,16,11,3
0.865,18.71,8,6,3
0.885,19.30,10,4,4
0.895,19.43,9,4,3
0.905,19.56,10,6,4
0.925,19.72,11,6,4
0.935,19.79,16,11,4
0.945,19.87,8,8,6
0.965,20.03,9,7,1
0.985,20.18,7,5,6
1.005,20.73,11,5,5
1.015,21.01,8,4,1
1.025,21.28,12,2,4
1.035,21.56,13,7,5
1.040,21.70,12,4,5
1.050,21.97,9,15,2
1.060,22.25,8,3,2
1.075,22.66,9,1,9
1.085,23.07,2,1,10
1.095,23.49,13,5,6
1.105,23.90,14,6,7
1.115,24.58,6,0,9
1.125,25.28,5,2,7
1.135,25.38,6,0,6
1.145,25.49,7,0,24
1.155,25.59,7,0,19
1.165,26.08,7,1,18
1.175,26.56,15,12,9
1.185,27.05,12,11,10
1.195,27.19,6,6,3
1.205,27.33,6,3,2
1.225,27.60,8,5,1
1.235,27.74,4,16,1
1.245,27.88,7,9,0
1.255,28.02,15,18,2
1.265,28.16,9,3,3
1.285,28.44,7,0,0
1.295,28.58,10,6,3
1.305,28.71,11,12,3
1.315,28.85,7,3,4
1.325,28.99,7,2,1
1.335,29.13,9,4,0
1.345,29.27,8,1,2
1.365,29.55,9,3,2
1.395,29.96,10,0,2
1.405,30.10,9,2,0
1.415,30.20,8,2,3
1.425,30.30,12,2,2
1.435,30.40,15,2,9
1.445,30.50,22,3,3
1.455,30.59,22,10,12
1.465,30.69,14,12,10
1.475,30.79,20,11,11
1.485,30.89,17,9,7
1.495,31.11,12,5,5
1.505,31.33,10,6,1
1.515,31.54,6,2,1
1.525,31.76,7,0,0
1.535,31.98,7,0,0
1.545,32.07,15,8,0
1.555,32.17,13,11,1
1.565,32.26,11,6,0
1.575,32.36,12,3,0
1.585,32.45,9,0,1
1.595,32.54,15,6,0
1.605,32.64,19,12,0
1.615,32.73,13,4,2
1.625,32.82,16,2,3
1.635,32.92,13,2,3
1.645,33.01,13,3,0
1.655,33.11,14,2,0
1.665,33.20,13,3,1
1.675,33.29,6,4,0
1.685,33.38,11,4,0
1.705,33.56,21,1,1
1.715,33.65,19,2,1
1.725,33.74,17,0,1
1.735,33.83,12,2,0
1.745,33.92,16,1,2
1.755,34.01,8,0,1
1.765,34.10,7,0,3
1.775,34.19,9,3,0
1.785,34.28,18,3,2
1.795,34.37,24,2,1
1.805,34.46,16,3,0
1.815,34.55,16,15,1
1.825,34.64,15,9,1
1.835,34.73,15,9,1
1.845,34.82,12,2,1
1.855,34.91,6,1,1
1.865,35.00,8,3,0
1.875,35.09,13,13,0
1.885,35.18,18,6,0
1.895,35.27,20,4,0
1.915,35.45,25,5,0
1.925,35.57,20,4,0
1.935,35.70,14,2,0
1.945,35.82,16,0,0
1.955,35.94,16,2,0
1.965,36.06,13,0,1
1.975,36.19,17,1,0
1.995,36.43,15,0,0
2.005,36.55,14,2,0
2.015,36.68,15,0,1
2.025,36.80,16,0,0
2.035,36.92,14,0,1
2.045,37.05,11,0,1
2.055,37.17,11,1,0
